,hyperparameters,num_features,mean_accuracy,std_accuracy,train_accuracy,test_accuracy
1206,"penalty: l2, C: 0.001, solver: liblinear",62,0.690867124,0.054632145,0.710462287,0.826086957
1306,"penalty: l2, C: 0.001, solver: liblinear",67,0.70800019,0.044669986,0.744525547,0.826086957
1326,"penalty: l2, C: 0.001, solver: liblinear",68,0.70800019,0.044669986,0.744525547,0.826086957
1346,"penalty: l2, C: 0.001, solver: liblinear",69,0.710451171,0.044215264,0.746958637,0.826086957
1366,"penalty: l2, C: 0.001, solver: liblinear",70,0.70800019,0.044669986,0.744525547,0.826086957
1386,"penalty: l2, C: 0.001, solver: liblinear",71,0.70800019,0.044669986,0.744525547,0.826086957
3326,"penalty: l2, C: 0.001, solver: liblinear",168,0.8054921,0.059526336,0.871046229,0.826086957
3346,"penalty: l2, C: 0.001, solver: liblinear",169,0.807895488,0.06280157,0.871046229,0.826086957
3366,"penalty: l2, C: 0.001, solver: liblinear",170,0.790833809,0.045998332,0.858880779,0.826086957
3386,"penalty: l2, C: 0.001, solver: liblinear",171,0.790833809,0.045998332,0.858880779,0.826086957
3406,"penalty: l2, C: 0.001, solver: liblinear",172,0.795711974,0.056754092,0.858880779,0.826086957
3426,"penalty: l2, C: 0.001, solver: liblinear",173,0.795711974,0.056754092,0.861313869,0.826086957
1145,"penalty: l2, C: 0.0001, solver: liblinear",59,0.654316581,0.050321059,0.666666667,0.804347826
1146,"penalty: l2, C: 0.001, solver: liblinear",59,0.717685132,0.032908243,0.720194647,0.804347826
1154,"penalty: l1, C: 1, solver: saga",59,0.649462212,0.049987097,0.673965937,0.804347826
1155,"penalty: l2, C: 0.0001, solver: saga",59,0.647011232,0.050348918,0.659367397,0.804347826
1156,"penalty: l2, C: 0.001, solver: saga",59,0.654340377,0.047184891,0.671532847,0.804347826
1157,"penalty: l2, C: 0.01, solver: saga",59,0.651889397,0.050680178,0.673965937,0.804347826
1158,"penalty: l2, C: 0.1, solver: saga",59,0.651889397,0.050680178,0.673965937,0.804347826
1159,"penalty: l2, C: 1, solver: saga",59,0.651889397,0.050680178,0.673965937,0.804347826
1165,"penalty: l2, C: 0.0001, solver: liblinear",60,0.65917095,0.051574874,0.659367397,0.804347826
1166,"penalty: l2, C: 0.001, solver: liblinear",60,0.720112317,0.036605622,0.717761557,0.804347826
1175,"penalty: l2, C: 0.0001, solver: saga",60,0.642156863,0.050714674,0.661800487,0.804347826
1186,"penalty: l2, C: 0.001, solver: liblinear",61,0.717685132,0.038821651,0.722627737,0.804347826
1226,"penalty: l2, C: 0.001, solver: liblinear",63,0.712830763,0.044130044,0.722627737,0.804347826
1247,"penalty: l2, C: 0.01, solver: liblinear",64,0.737221588,0.04951755,0.776155718,0.804347826
1266,"penalty: l2, C: 0.001, solver: liblinear",65,0.717732724,0.038424136,0.737226277,0.804347826
1267,"penalty: l2, C: 0.01, solver: liblinear",65,0.737221588,0.048068684,0.776155718,0.804347826
1286,"penalty: l2, C: 0.001, solver: liblinear",66,0.705525414,0.043583452,0.742092457,0.804347826
1287,"penalty: l2, C: 0.01, solver: liblinear",66,0.737197792,0.050121338,0.781021898,0.804347826
1307,"penalty: l2, C: 0.01, solver: liblinear",67,0.737197792,0.050121338,0.781021898,0.804347826
